  67
     1     h     p     0
     4    he   he4     2
    12     c   c12     6
    13     c   c13     7
    14     c   c14     8
    13     n   n13     6
    14     n   n14     7
    15     n   n15     8
    14     o   o14     6
    15     o   o15     7
    16     o   o16     8
    17     o   o17     9
    18     o   o18    10
    19     o   o19    11
    17     f   f17     8
    18     f   f18     9
    19     f   f19    10
    20     f   f20    11
    21    na  na21    10
    22    na  na22    11
    23    na  na23    12
    24    na  na24    13
    23    mg  mg23    11
    24    mg  mg24    12
    25    mg  mg25    13
    26    mg  mg26    14
    27    mg  mg27    15
    54    fe  fe54    28
    56    fe  fe56    30
    57    fe  fe57    31
    58    fe  fe58    32
    85    rb  rb85    48
    87    rb  rb87    50
    86    sr  sr86    48
    87    sr  sr87    49
    88    sr  sr88    50
    89     y   y89    50
    90    zr  zr90    50
    91    zr  zr91    51
    92    zr  zr92    52
    94    zr  zr94    54
    96    zr  zr96    56
   134    ba ba134    78
   135    ba ba135    79
   136    ba ba136    80
   137    ba ba137    81
   138    ba ba138    82
   139    la la139    82
   140    ce ce140    82
   142    ce ce142    84
   141    pr pr141    82
   142    nd nd142    82
   143    nd nd143    83
   145    nd nd145    85
   146    nd nd146    86
   147    nd nd147    87
   148    nd nd148    88
   147    sm sm147    85
   148    sm sm148    86
   149    sm sm149    87
   150    sm sm150    88
   151    eu eu151    88
   153    eu eu153    90
   204    pb pb204   122
   206    pb pb206   124
   207    pb pb207   125
   208    pb pb208   126
