#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2012-12-06T05:21:17 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.91 (20-Jun-2012) 
#INFO -ref=VIZ50bff3cc1bb5 
#INFO -out.max=unlimited 
#INFO queryParameters=20 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/yields}&key:source=J/MNRAS/403/1413/yields&HTTPPRM:&-ref=VIZ50bff3cc1bb5&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-source=J/MNRAS/403/1413/yields
#-order=I
#-out=M0
#-out=Mix
#-out=Z0
#-out=M1
#-out=El
#-out=A
#-out=Yield
#-out=M(i)lost
#-out=M(i)0
#-out=<X(i)>
#-out=X0(i)
#-out=f
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table J_MNRAS_403_1413_yields:
#Name: J/MNRAS/403/1413/yields
#Title: Stellar yields {\em (tables A2, A3, A4, A5 and A6 of paper)}
#---Details of Columns:
    M0 (solMass)       (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
    Mix                (A1)    Partial mixing zones: {\bf y}es (in original table A6) or {\bf n}o [ucd=stat.param]
    Z0                 (F7.4)  Initial metallicity [ucd=phys.abund.Z]
    M1 (solMass)       (F6.3)  Final mass (1) [ucd=phys.mass]
    El                 (a4)    Species i (2) [ucd=phys.atmol.element]
    A                  (I2)    Atomic mass of the species i [ucd=phys.mass]
    Yield (solMass)    (D9.2)  Net yield [ucd=phys.composition.yield]
    M(i)lost (solMass) (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
    M(i)0 (solMass)    (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
    <X(i)>             (E9.2)  Average abundance of species i in the wind (mass fraction) [ucd=phys.abund]
    X0(i)              (E9.2)  initial mass fraction of species i (mass fraction) [ucd=phys.mass]
    f                  (E9.2)  Production factor, f=log10(<X(i)>/X0(i)) [ucd=arith.factor]
----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
M0    M                                                                                   
(sol  i         M1 (so         Yield     M(i)lost  M(i)0                                  
Mass) x Z0      lMass) El   A  (solMass) (solMass) (solMass) <X(i)>    X0(i)     f        
----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
 1.00 n  0.0200  0.564 g     1  8.18e-09  3.29e-08  2.47e-08  7.55e-08  5.67e-08  1.24e-01
 1.00 n  0.0200  0.564 n     1 -3.98e-43 -3.98e-43  0.00e+00 -9.12e-43  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 p     1 -8.10e-03  2.92e-01  3.00e-01  6.69e-01  6.88e-01 -1.19e-02
 1.00 n  0.0200  0.564 D     2  1.19e-18  1.19e-18  0.00e+00  2.72e-18  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 He    3  1.35e-04  1.35e-04  0.00e+00  3.11e-04  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 He    4  7.94e-03  1.36e-01  1.28e-01  3.11e-01  2.93e-01  2.61e-02
 1.00 n  0.0200  0.564 Li    7  1.59e-09  2.40e-09  8.13e-10  5.51e-09  1.87e-09  4.70e-01
 1.00 n  0.0200  0.564 Be    7  4.07e-12  4.07e-12  0.00e+00  9.34e-12  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 B     8  2.67e-27  2.67e-27  0.00e+00  6.12e-27  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 C    12 -1.75e-04  1.15e-03  1.32e-03  2.63e-03  3.04e-03 -6.17e-02
 1.00 n  0.0200  0.564 C    13  2.48e-05  4.07e-05  1.59e-05  9.34e-05  3.65e-05  4.08e-01
